Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Dragon Scroll: Yomigaerishi Maryuu,NES,12/4/1987,JP,Konami,Konami,,Action RPG,,,2,0,,,,,0,,,,,73%,,2,,,,1987,56%,73%,0.4
Outlanders,NES,12/4/1987,JP,Victor Musical Industries,Micronics,,Action RPG,,,2,0,,,,,0,,,,,50%,,2,,,,1987,45%,50%,0.4
Wizards & Warriors,NES,12/1/1987,NA,Acclaim Entertainment,Rare,Wizards & Warriors,Action Platformer,,,,0,,,,,0,,,,,71%,,2,,3.00,,1987,56%,71%,0.4
Shalom: Knightmare III,MSX,12/1/1987,JP,Konami,Konami,Knightmare,Turn-Based RPG,,,2,0,,,,,0,,,,,50%,,3,,,,1987,55%,50%,0.6
Nakayama Miho no Tokimeki High School,Famicom Disk System,12/1/1987,JP,Nintendo,Square,,Visual Novel,,,2,0,,,,,0,,,,,69%,,2,,,,1987,55%,69%,0.4
SD Gundam World: Gachapon Senshi - Scramble Wars,Famicom Disk System,11/20/1987,JP,Bandai,Human Entertainment,Gundam,Strategy RPG,,,2,0,,,,,0,,,,,67%,,2,,,,1987,54%,67%,0.4
Space Quest II: Chapter II - Vohaul's Revenge,PC,11/14/1987,NA,Sierra Entertainment,Sierra Entertainment,Space Quest,Adventure,,,,1,,5/5/2020, $ -   ,Digital,0,,,,70%,73%,Steam,3,,3.50,,1987,66%,0.716,0.6
The Goonies II,NES,11/1/1987,NA,Konami,Konami,The Goonies,Metroidvania,,,,0,,,,,0,,,,,70%,,2,,3.00,,1987,55%,70%,0.4
Kid Niki: Radical Ninja,NES,11/1/1987,NA,Data East,TOSE,,Action Platformer,,,,0,,,,,0,,,,,66%,,2,,0.90,,1987,53%,66%,0.4
Palace of Magic,Acorn Electron,11/1/1987,EU,Superior Software,Martyn R Howard,,Metroidvania,,,,0,,,,,0,,,,,65%,,2,,,,1987,53%,65%,0.4
Super Pitfall,NES,11/1/1987,NA,Activision,Micronics,Pitfall,Side-Scrolling Platformer,,,,0,,,,,0,,,,,44%,,2,,2.00,,1987,42%,44%,0.4
Famicom Grand Prix: F1 Race,Famicom Disk System,10/30/1987,JP,Nintendo,Nintendo,F-1 Race,Racing,,,2,0,,,,,0,,,,,66%,,2,,,,1987,53%,66%,0.4
Hoshi wo Miru Hito,NES,10/27/1987,JP,HOT B,Another,,Turn-Based RPG,,,1,0,,,,,0,,,,,24%,,2,,7.00,,1987,32%,24%,0.4
Momotarō Densetsu,NES,10/26/1987,JP,Hudson Soft,Hudson Soft,Momotarō Densetsu,Turn-Based RPG,,,2,0,,,,,0,,,,,62%,,2,,26.50,,1987,51%,62%,0.4
Minelvaton Saga: Ragon no Fukkatsu,NES,10/23/1987,JP,Taito,Random House,Minelvaton Saga,Turn-Based RPG,,,2,0,,,,,0,,,,,72%,,2,,23.00,,1987,56%,72%,0.4
Indora no Hikari,NES,10/20/1987,JP,Kemco,Kemco,,Turn-Based RPG,,,2,0,,,,,0,,,,,40%,,2,,17.00,,1987,40%,40%,0.4
Maniac Mansion,PC,10/5/1987,NA,Lucasfilm Games,Lucasfilm Games,Maniac Mansion,Adventure,,,,0,,,,,0,,,,83%,77%,,4,,3.00,,1987,80%,0.801,0.8
Kalin no Tsurugi,Famicom Disk System,10/2/1987,JP,DOG,XTALSOFT,,Action RPG,,,2,0,,,,,0,,,,,61%,,2,,,,1987,50%,61%,0.4
After Burner II,Arcade,10/1/1987,NA,Sega,Sega AM2,After Burner,Flight Simulation,,,,0,,,,,0,,,,,66%,,3,,0.58,,1987,63%,66%,0.6
Beyond Zork: The Coconut of Quendor,PC,10/1/1987,NA,Infocom,Infocom,Zork,Text Adventure,,,,0,,,,,0,,,,,72%,,2,,11.00,,1987,56%,72%,0.4
Rad Racer,NES,10/1/1987,NA,Nintendo,SquareSoft,Rad Racer,Racing,,,,0,,,,,0,,,,,69%,,2,,2.00,,1987,54%,69%,0.4
Digital Devil Story: Megami Tensei,NES,9/11/1987,JP,Namco,Atlus,Megami Tensei,Turn-Based RPG,,,2,0,,,,,0,,,,,64%,,3,,21.50,,1987,62%,64%,0.6
SWAT: Special Weapons and Tactics,NES,9/11/1987,JP,Toei,Shouei,,Turn-Based RPG,,,2,0,,,,,0,,,,,62%,,2,,,,1987,51%,62%,0.4
Stinger,NES,9/1/1987,NA,Konami,Konami,TwinBee,Scrolling Shooter,,,,0,,,,,0,,,,,69%,,3,,0.65,,1987,64%,69%,0.6
Thexder,PC,9/1/1987,NA,Sierra On-Line,Game Arts,Thexder,Run and Gun,,,,0,,,,,0,,,,,68%,,2,,,,1987,54%,68%,0.4
Sqoon,NES,9/1/1987,NA,Irem,Home Data,,Scrolling Shooter,,,,0,,,,,0,,,,,63%,,2,,,,1987,52%,63%,0.4
Sky Kid,NES,9/1/1987,NA,Sunsoft,Namco,Sky Kid,Scrolling Shooter,,,,0,,,,,0,,,,,63%,,2,,1.00,,1987,52%,63%,0.4
3-D WorldRunner,NES,9/1/1987,NA,Acclaim Entertainment,SquareSoft,3-D WorldRunner,Rail Shooter,,,,0,,,,,0,,,,,59%,,2,,1.00,,1987,50%,59%,0.4
Gradius 2,MSX,8/22/1987,JP,Konami,Konami,Gradius,Scrolling Shooter,,,0,0,,,,,0,,,,,78%,,3,,0.95,,1987,69%,78%,0.6
Arumana no Kiseki,Famicom Disk System,8/11/1987,JP,Konami,Konami,,Side-Scrolling Platformer,,,2,0,,,,,0,,,,,78%,,2,,,,1987,59%,78%,0.4
Black Tiger,Arcade,8/1/1987,NA,Capcom,Capcom,Black Tiger,Action Platformer,,,,0,,,,,0,,,,,70%,,2,,0.62,,1987,55%,70%,0.4
Ganbare Goemon! Karakuri Dōchū,MSX2,7/30/1987,JP,Konami,Konami,Goemon,Action Adventure,,,2,0,,,,,0,,,,,81%,,2,,2.50,,1987,61%,81%,0.4
Chester Field,NES,7/30/1987,JP,Vic Tokai,Vic Tokai,,Action RPG,,,2,0,,,,,0,,,,,59%,,2,,,,1987,50%,59%,0.4
Cleopatra no Mahou,Famicom Disk System,7/24/1987,JP,Squaresoft,Squaresoft,,Turn-Based RPG,,,2,0,,,,,0,,,,,60%,,2,,9.00,,1987,50%,60%,0.4
Metal Gear,MSX2,7/13/1987,JP,Konami,Konami,Metal Gear,Stealth Action,,,2,0,,,,,0,,,,,74%,,4,,4.00,,1987,77%,74%,0.8
Getsu Fūma Den,NES,7/7/1987,JP,Konami,Konami,,Action RPG,,,2,0,,,,,0,,,,,79%,,2,,4.50,,1987,60%,79%,0.4
Leisure Suit Larry in the Land of the Lounge Lizards,PC,7/5/1987,NA,Sierra Entertainment,Sierra Entertainment,Leisure Suit Larry,Adventure,,,,0,,,,,0,,,,81%,76%,,2,,3.00,,1987,59%,0.786,0.4
Rygar,NES,7/1/1987,NA,Tecmo,Tecmo,Rygar,Action Adventure,,,,0,,,,,0,,,,,72%,,3,,1.00,,1987,66%,72%,0.6
After Burner,Arcade,7/1/1987,JP,Sega,Sega AM2,After Burner,Flight Simulation,,,0,0,,,,,0,,,,,67%,,3,,0.78,,1987,64%,67%,0.6
Section Z,NES,7/1/1987,NA,Capcom,Capcom,Section Z,Scrolling Shooter,,,,0,,,,,0,,,,,63%,,2,,0.82,,1987,51%,63%,0.4
1943: The Battle of Midway,Arcade,6/1/1987,NA,Capcom,Capcom,19XX,Scrolling Shooter,,,,0,,,,,0,,,,,67%,,3,,0.58,,1987,63%,67%,0.6
Stationfall,PC,6/1/1987,NA,Infocom,Infocom,Planetfall,Text Adventure,,,,0,,,,,0,,,,,74%,,2,,0.50,,1987,57%,74%,0.4
Bionic Commando,Arcade,6/1/1987,NA,Capcom,Capcom,Bionic Commando,Action Platformer,,,,0,,,,,0,,,,,57%,,3,,2.00,,1987,58%,57%,0.6
Ai Senshi Nicol,Famicom Disk System,4/24/1987,JP,Konami,Konami,,Action Adventure,,,2,0,,,,,0,,,,,77%,,2,,,,1987,59%,77%,0.4
The Maze of Galious: Knightmare II,MSX,4/18/1987,JP,Konami,Konami,Knightmare,Metroidvania,,,0,0,,,,,0,,,,,83%,,2,,,,1987,62%,83%,0.4
Relics: Ankoku Yōsai,Famicom Disk System,4/10/1987,JP,Bothtec,Bothtec,,Action Adventure,,,0,0,,,,,0,,,,,58%,,2,,,,1987,49%,58%,0.4
Rush'n Attack,NES,4/1/1987,NA,Konami,Konami,Rush'n Attack,Run and Gun,,,,0,,,,,0,,,,,65%,,2,,0.62,,1987,53%,65%,0.4
Esper Dream,Famicom Disk System,2/20/1987,JP,Konami,Konami,Esper Dream,Action RPG,,,2,0,,,,,0,,,,,69%,,3,,,,1987,65%,69%,0.6
Avengers,Arcade,2/1/1987,NA,Capcom,Capcom,,Beat 'em Up,,,,0,,,,,0,,,,,47%,,2,,,,1987,44%,47%,0.4
Zelda II: The Adventure of Link,Famicom Disk System,1/14/1987,JP,Nintendo,Nintendo EAD,The Legend of Zelda,Action Adventure,,,0,1,Game only,4/3/2019, $ 15.99 ,Physical,0,,,,,71%,,2,,11.00,,1987,56%,71%,0.4
R-Type,Arcade,1/1/1987,NA,Nintendo,Irem,R-Type,Scrolling Shooter,,,,0,,,,,0,,,,,77%,,3,,1.00,,1987,68%,77%,0.6
Police Quest: In Pursuit of the Death Angel,PC,1/1/1987,NA,Sierra Entertainment,Sierra Entertainment,Police Quest,Adventure,,,,1,,5/5/2020, $ -   ,Digital,0,,,,75%,74%,Steam,3,,6.00,,1987,67%,0.746,0.6
Shinobi,Arcade,1/1/1987,NA,Sega,Sega AM1,Shinobi,Hack-and-Slash,,,,0,,,,,0,,,,,72%,,3,,1.50,,1987,66%,72%,0.6
Wizardry IV: The Return of Werdna,PC,1/1/1987,NA,Sir-Tech Software,Sir-Tech Software,Wizardry,Computer RPG,,,,0,,,,,0,,,,,71%,,3,,,,1987,66%,71%,0.6
Roadwar Europa,PC,1/1/1987,NA,Strategic Simulations,Strategic Simulations,Roadwar,Turn-Based Strategy,,,,0,,,,,0,,,,,88%,,2,,,,1987,64%,88%,0.4
Wonder Boy,Sega Master System,1/1/1987,NA,Sega,Sega,Wonder Boy,Side-Scrolling Platformer,,,,0,,,,,0,,,,,68%,,3,,2.50,,1987,64%,68%,0.6
Dungeon Master,Atari ST,1/1/1987,NA,FTL Games,FTL Games,Dungeon Master,Dungeon Crawler,,,,0,,,,,0,,,,,85%,,2,,15.50,,1987,62%,85%,0.4
The Fool's Errand,PC,1/1/1987,NA,Miles Computing,Cliff Johnson,The Fool's Errand,Puzzle,,,,0,,,,,0,,,,,84%,,2,,,,1987,62%,84%,0.4
Hi no Tori Hououhen,MSX,1/1/1987,JP,Konami,Konami,Hi no Tori,Scrolling Shooter,,,0,0,,,,,0,,,,,83%,,2,,4.50,,1987,61%,83%,0.4
Sid Meier's Pirates!,PC,1/1/1987,NA,MicroProse,MicroProse,Sid Meier's Pirates!,Action Adventure,,,,1,,,,Digital,0,,,,,82%,Steam,2,,4.50,,1987,61%,82%,0.4
Ultima I: The First Age of Darkness,PC,1/1/1987,NA,Origin Systems,Origin Systems,Ultima,Computer RPG,,,,0,,,,,0,,,,,60%,,3,,5.50,,1987,60%,60%,0.6
AshGuine Story II: Kokuu no Gajou,MSX,1/1/1987,JP,T&E Soft,T&E Soft,AshGuine Story,Action Platformer,,,2,0,,,,,0,,,,,80%,,2,,,,1987,60%,80%,0.4
Déjà Vu,PC,1/1/1987,NA,Mindscape,ICOM Simulations,Déjà Vu,Adventure,,,,1,,2/12/2015,,Digital,0,,,,80%,77%,Steam,2,,2.00,,1987,59%,0.785,0.4
The Great Giana Sisters,Commodore 64,1/1/1987,NA,Rainbow Arts,Time Warp Productions,Giana Sisters,Side-Scrolling Platformer,,,,0,,,,,0,,,,,78%,,2,,1.50,,1987,59%,78%,0.4
Fantasy Zone II: The Tears of Opa-Opa,Sega Master System,1/1/1987,NA,Sega,Sega,Fantasy Zone,Scrolling Shooter,,,,0,,,,,0,,,,,75%,,2,,1.50,,1987,58%,75%,0.4
Rad Warrior,Commodore 64,1/1/1987,NA,Epyx,Palace Software,,Metroidvania,,,,0,,,,,0,,,,,72%,,2,,,,1987,56%,72%,0.4
AshGuine: Densetsu no Seisenshi,MSX,1/1/1987,JP,Panasoft,Bit2,AshGuine Story,Action Platformer,,,0,0,,,,,0,,,,,70%,,2,,,,1987,55%,70%,0.4
Tower of Doom,Intellivision,1/1/1987,NA,Intellivision Productions,Realtime Associates,Dungeons & Dragons,Action RPG,,,,0,,,,,0,,,,,70%,,2,,,,1987,55%,70%,0.4
Aliens: Alien 2,MSX,1/1/1987,JP,Squaresoft,Squaresoft,Alien,Action Platformer,,,0,0,,,,,0,,,,,68%,,2,,,,1987,54%,68%,0.4
Rastan,Arcade,1/1/1987,NA,Taito,Taito,Rastan,Action Platformer,,,,0,,,,,0,,,,,67%,,2,,0.97,,1987,54%,67%,0.4
AshGuine Story III: Fukushuu no Honoo,MSX,1/1/1987,JP,Panasoft,Micro Cabin,AshGuine Story,Action Platformer,,,2,0,,,,,0,,,,,65%,,2,,,,1987,53%,65%,0.4
Gemini Wing,Arcade,1/1/1987,NA,Tecmo,Tecmo,,Scrolling Shooter,,,,0,,,,,0,,,,,62%,,2,,0.50,,1987,51%,62%,0.4
Sidewize,Commodore 64,1/1/1987,EU,Firebird Software,Odin Computer Graphics,Sidewize,Scrolling Shooter,,,,0,,,,,0,,,,,60%,,2,,,,1987,50%,60%,0.4
Street Fighter,Arcade,1/1/1987,NA,Capcom,Capcom,Street Fighter,Fighting,,,,0,,,,,0,,,,,49%,,2,,0.83,,1987,45%,49%,0.4
Codename Droid: Stryker's Run - Part 2,BBC Micro,1/1/1987,EU,Superior Software,Superior Software,Stryker's Run,Metroidvania,,,,0,,,,,0,,,,,,,2,,,,1987,40%,,0.4
Mega Man,NES,12/1/1987,NA,Capcom,Capcom,Mega Man,Action Platformer,,,,0,,,,,1,,,80%,,75%,,,1,,,1987,77%,75%,80%
The Legend of Zelda,NES,8/22/1987,NA,Nintendo,Nintendo EAD,The Legend of Zelda,Action Adventure,,,,1,Game only,7/28/2018, $ 29.95 ,Physical,1,,,70%,,84%,"Gold, 5-Screw and Gold, 3-Screw",,,,,1987,77%,84%,70%
Metroid,NES,8/15/1987,NA,Nintendo,Nintendo R&D1,Metroid,Metroidvania,,,,0,,,,,1,,,80%,,76%,,,1,,,1987,78%,76%,80%
Double Dragon,Arcade,7/1/1987,NA,Taito,Technōs Japan,Double Dragon,Beat 'em Up,,,,0,,,,,1,,,70%,,72%,,,,,,1987,71%,72%,70%
Kid Icarus,NES,7/1/1987,NA,Nintendo,Nintendo R&D1,Kid Icarus,Action Platformer,,,,0,,,,,1,,,70%,,71%,,,1,,,1987,70%,71%,70%
Castlevania,NES,5/1/1987,NA,Konami,Konami,Castlevania,Action Platformer,,,,0,,,,,1,,,70%,,78%,,,1,,,1987,74%,78%,70%
Darius,Arcade,2/1/1987,JP,Taito,Taito,Darius,Scrolling Shooter,,,0,0,,,,,1,,,60%,,70%,,,,,,1987,65%,70%,60%
Contra,Arcade,1/1/1987,NA,Konami,Konami,Contra,Run and Gun,,,,0,,,,,1,,,70%,,74%,,,,,,1987,72%,74%,70%
Layla,NES,12/20/1986,JP,dB-SOFT,dB-SOFT,,Run and Gun,,,0,0,,,,,0,,,,,70%,,2,,3.00,,1986,55%,70%,0.4
The Wing of Madoola,NES,12/18/1986,JP,Sunsoft,Sunsoft,,Action Adventure,,,2,0,,,,,0,,,,,70%,,2,,2.50,,1986,55%,70%,0.4
Suishō no Dragon,Famicom Disk System,12/15/1986,JP,Squaresoft,SquareSoft,,Adventure,,,0,0,,,,,0,,,,,74%,,2,,0.88,,1986,57%,74%,0.4
King Kong 2: Yomigaeru Densetsu,MSX2,12/1/1986,JP,Konami,Konami,King Kong,Action RPG,,,2,0,,,,,0,,,,,64%,,2,,,,1986,52%,64%,0.4
Aliens: The Computer Game,Commodore 64,12/1/1986,EU,Electric Dreams Software,Software Studios,Alien,First-Person Action,,,,0,,,,,0,,,,,52%,,2,,,,1986,46%,52%,0.4
Super Star Force: Jikūreki no Himitsu,NES,11/11/1986,JP,Tecmo,Tecmo,Star Force,Scrolling Shooter,,,2,0,,,,,0,,,,,78%,,2,,,,1986,59%,78%,0.4
Ghosts 'n Goblins,NES,11/1/1986,NA,Capcom,Capcom,Ghosts 'n Goblins,Action Platformer,,,,0,,,,,0,,,,,63%,,3,,4.50,,1986,61%,63%,0.6
Black Belt,Sega Master System,11/1/1986,NA,Sega,Sega,Fist of the North Star,Beat 'em Up,,,,0,,,,,0,,,,,68%,,2,,0.68,,1986,54%,68%,0.4
Vampire Killer,MSX2,10/30/1986,JP,Konami,Konami,Castlevania,Action Platformer,,,0,0,,,,,0,,,,,69%,,3,,1.00,,1986,65%,69%,0.6
Space Quest: Chapter I - The Sarien Encounter,PC,10/1/1986,NA,Sierra Entertainment,Sierra Entertainment,Space Quest,Adventure,,,,1,,5/5/2020, $ -   ,Digital,0,,,,88%,76%,Steam,3,,3.50,,1986,71%,0.822,0.6
Salamander,Arcade,10/1/1986,NA,Konami,Konami,Gradius,Scrolling Shooter,,,,0,,,,,0,,,,,74%,,3,,0.50,,1986,67%,74%,0.6
King's Quest III: To Heir is Human,PC,10/1/1986,NA,Sierra Entertainment,Sierra Entertainment,King's Quest,Adventure,,,,1,,5/5/2020, $ -   ,Digital,0,,,,75%,73%,Steam,3,,6.00,,1986,67%,0.741,0.6
Dragon Ball: Dragon Daihikyou,Epoch Super Cassette Vision,9/27/1986,JP,Epoch,Epoch,Dragon Ball,Scrolling Shooter,,,0,0,,,,,0,,,,,62%,,2,,,,1986,51%,62%,0.4
StarFlight,PC,8/15/1986,NA,Electronic Arts,Binary Systems,,Strategy,,,,0,,,,,0,,,,100%,81%,,3,,20.00,,1986,75%,0.904,0.6
Alpha,NEC PC-8801,7/1/1986,JP,Squaresoft,Squaresoft,The Death Trap,Visual Novel,,,0,0,,,,,0,,,,,,,2,,,,1986,40%,,0.4
Mr. Goemon,Arcade,5/1/1986,JP,Konami,Konami,Ganbare Goemon,Side-Scrolling Platformer,,,0,0,,,,,0,,,,,68%,,2,,2.00,,1986,54%,68%,0.4
Cruise Chaser Blassty,NEC PC-8801,4/30/1986,JP,Squaresoft,SquareSoft,,Turn-Based RPG,,,0,0,,,,,0,,,,,,,2,,,,1986,40%,,0.4
Phantom of the Asteroids,Commodore 64,3/1/1986,EU,Mastetronic,Mastetronic,,Metroidvania,,,,0,,,,,0,,,,,71%,,2,,,,1986,56%,71%,0.4
Ikari Warriors,Arcade,3/1/1986,NA,Tradewest,SNK,Ikari Warriors,Run and Gun,,,,0,,,,,0,,,,,60%,,2,,1.50,,1986,50%,60%,0.4
The Legend of Zelda,Famicom Disk System,2/21/1986,JP,Nintendo,Nintendo EAD,The Legend of Zelda,Action Adventure,,,2,1,Game only,3/3/2019, $ 18.99 ,Physical,0,,,,,83%,,2,,8.50,,1986,62%,83%,0.4
Might and Magic Book One: The Secret of the Inner Sanctum,PC,1/1/1986,NA,New World Computing,New World Computing,Might and Magic,Computer RPG,,,,0,,,,,0,,,,,66%,,3,,60.00,,1986,63%,66%,0.6
Labyrinth: The Computer Game,Commodore 64,1/1/1986,NA,Activision,Lucasfilm Games,Labyrinth,Adventure,,,,0,,,,,0,,,,,82%,,2,,,,1986,61%,82%,0.4
Stryker's Run,BBC Micro,1/1/1986,EU,Superior Software,Superior Software,Stryker's Run,Action Platformer,,,,0,,,,,0,,,,,81%,,2,,,,1986,61%,81%,0.4
Roadwar 2000,PC,1/1/1986,NA,Strategic Simulations,Strategic Simulations,Roadwar,Turn-Based Strategy,,,,0,,,,,0,,,,,80%,,2,,,,1986,60%,80%,0.4
The Screamer,NEC PC-9801,1/1/1986,JP,ASCII Entertainment,Magical Zoo,,Action RPG,,,2,0,,,,,0,,,,,78%,,2,,,,1986,59%,78%,0.4
The Fellowship of the Ring,PC,1/1/1986,NA,Addison-Wesley Publishing Company,Beam Software,The Lord of the Rings,Text Adventure,,,,0,,,,,0,,,,,76%,,2,,,,1986,58%,76%,0.4
Alex Kidd in Miracle World,Sega Master System,1/1/1986,NA,Sega,Sega,Alex Kidd,Side-Scrolling Platformer,,,,0,,,,,0,,,,,73%,,2,,2.00,,1986,57%,73%,0.4
Fantasy Zone,Sega Master System,1/1/1986,NA,Sega,Sega,Fantasy Zone,Scrolling Shooter,,,,0,,,,,0,,,,,71%,,2,,1.00,,1986,56%,71%,0.4
Obsidian,Amstrad CPC,1/1/1986,EU,Artic Computing,Tony Warriner,,Action Adventure,,,,0,,,,,0,,,,,70%,,2,,,,1986,55%,70%,0.4
Thunder Castle,Intellivision,1/1/1986,NA,INTV,Mattel Electronics,,Action Adventure,,,,0,,,,,0,,,,,70%,,2,,,,1986,55%,70%,0.4
Starquake,MSX,1/1/1986,EU,Bubble Bus Software,Bubble Bus Software,,Action Adventure,,,,0,,,,,0,,,,,70%,,2,,,,1986,55%,70%,0.4
Knightmare: Majō Densetsu,MSX,1/1/1986,JP,Konami,Konami,Knightmare,Scrolling Shooter,,,0,0,,,,,0,,,,,70%,,2,,2.00,,1986,55%,70%,0.4
Aliens: The Computer Game,Commodore 64,1/1/1986,NA,Activision,Activision,Alien,Action Adventure,,,,0,,,,,0,,,,,68%,,2,,,,1986,54%,68%,0.4
Super Mario Bros. Special,NEC PC-8801,1/1/1986,JP,Hudson Soft,Hudson Soft,Mario,Side-Scrolling Platformer,,,0,0,,,,,0,,,,,52%,,2,,1.00,,1986,46%,52%,0.4
The Colour of Magic,Commodore 64,1/1/1986,EU,Piranha Software,Delta 4 Interactive,Discworld,Text Adventure,,,,0,,,,,0,,,,,45%,,2,,,,1986,43%,45%,0.4
Chiller,Arcade,1/1/1986,NA,Exidy,Exidy,,Rail Shooter,,,,0,,,,,0,,,,,42%,,2,,0.25,,1986,41%,42%,0.4
Suspended: A Cryogenic Nightmare,Commodore Amiga,1/1/1986,NA,Infocom,Infocom,,Text Adventure,,,,0,,,,,0,,,,,,,2,,5.00,,1986,40%,,0.4
Hydlide II: Shine of Darkness,MSX,1/1/1986,JP,T&E Soft,T&E Soft,Hydlide,Action RPG,,,2,0,,,,,0,,,,,38%,,2,,20.00,,1986,39%,38%,0.4
Gradius,NES,12/1/1986,NA,Hudson Soft,Konami,Gradius,Scrolling Shooter,,,,0,,,,,1,,,70%,,73%,,,,,,1986,72%,73%,70%
Super Mario Bros.: The Lost Levels,Famicom Disk System,6/3/1986,JP,Nintendo,Nintendo R&D4,Mario,Side-Scrolling Platformer,,,2,0,,,,,1,,,80%,,72%,,,,,,1986,76%,72%,80%
Mario Bros.,NES,6/1/1986,NA,Nintendo,Nintendo,Mario,Action,,,,0,,,,,1,,,70%,,68%,,,,,,1986,69%,68%,70%
Balloon Fight,NES,6/1/1986,NA,Nintendo,Nintendo R&D1,Balloon Fight,Action,,,,0,,,,,1,,,60%,,68%,,,,,,1986,64%,68%,60%
All Night Nippon Super Mario Bros.,Famicom Disk System,1/1/1986,JP,Nintendo,Nintendo EAD,Mario,Side-Scrolling Platformer,,,0,0,,,,,1,,,70%,,81%,,,,,,1986,75%,81%,70%
Astro Warrior,Sega Master System,1/1/1986,NA,Sega,Sega,Astro Warrior,Scrolling Shooter,,,,0,,,,,1,3/5/2020,0.31,65%,,65%,,,,,,1986,65%,65%,65%
Bokosuka Wars,NES,12/14/1985,JP,ASCII Entertainment,ASCII Entertainment,Bokosuka Wars,Strategy RPG,,,0,0,,,,,0,,,,,39%,,2,,,,1985,40%,39%,0.4
SunDog: Frozen Legacy,Atari ST,12/1/1985,NA,FTL Games,FTL Games,,Computer RPG,,,,0,,,,,0,,,,,75%,,2,,,,1985,58%,75%,0.4
Ice Climber,NES,10/18/1985,NA,Nintendo,Nintendo R&D1,Ice Climber,Side-Scrolling Platformer,,,,0,,,,,0,,,,,63%,,2,,4.00,,1985,51%,63%,0.4
Spellbreaker,PC,10/1/1985,NA,Infocom,Infocom,Enchanter,Text Adventure,,,,0,,,,,0,,,,,78%,,2,,8.00,,1985,59%,78%,0.4
Gun.Smoke,Arcade,10/1/1985,NA,Romstar,Capcom,,Run and Gun,,,,0,,,,,0,,,,,62%,,2,,0.90,,1985,51%,62%,0.4
Ultima IV: Quest of the Avatar,PC,9/16/1985,NA,Origin Systems,Origin Systems,Ultima,Computer RPG,,,,1,,6/18/2012, $ -   ,Digital,0,,,,,76%,GOG,3,,27.00,,1985,68%,76%,0.6
A Mind Forever Voyaging,PC,8/14/1985,NA,Infocom,Infocom,,Text Adventure,,,,0,,,,,0,,,,,85%,,3,,5.50,,1985,72%,85%,0.6
Hang-On,Sega Master System,7/22/1985,NA,Sega,Sega,Hang-On,Racing,,,,0,,,,,0,,,,,64%,,2,,0.60,,1985,52%,64%,0.4
King's Quest II: Romancing the Throne,PC,5/1/1985,NA,Sierra Entertainment,Sierra Entertainment,King's Quest,Adventure,,,,1,,5/5/2020, $ -   ,Digital,0,,,,62%,70%,Steam,3,,3.00,,1985,63%,0.659,0.6
Exed Exes,Arcade,4/1/1985,NA,Memetron,Capcom,,Scrolling Shooter,,,,0,,,,,0,,,,,52%,,2,,1.00,,1985,46%,52%,0.4
TwinBee,Arcade,3/5/1985,JP,Konami,Konami,TwinBee,Scrolling Shooter,,,0,0,,,,,0,,,,,67%,,3,,0.43,,1985,64%,67%,0.6
King's Valley,MSX,1/1/1985,JP,Konami,Konami,King's Valley,Side-Scrolling Platformer,,,0,0,,,,,0,,,,,86%,,3,,,,1985,73%,86%,0.6
The Bard's Tale,PC,1/1/1985,NA,Electronic Arts,Interplay Entertainment,The Bard's Tale,Computer RPG,,,,0,,,,,0,,,,,73%,,3,,14.00,,1985,66%,73%,0.6
Castle Quest,BBC Micro,1/1/1985,EU,Micro Power,Micro Power,,Metroidvania,,,,0,,,,,0,,,,,80%,,2,,,,1985,60%,80%,0.4
Cosmo Police Galivan,NES,1/1/1985,JP,Nihon Bussan,Nihon Bussan,Cosmo Police Galivan,Action RPG,,,2,0,,,,,0,,,,,71%,,2,,,,1985,55%,71%,0.4
Doriath,Commodore 64,1/1/1985,EU,Rabbit Software,Rabbit Software,,Metroidvania,,,,0,,,,,0,,,,,68%,,2,,,,1985,54%,68%,0.4
The Castle,Sega SG-1000,1/1/1985,JP,ASCII Corporation,ASCII Corporation,The Castle,Metroidvania,,,0,0,,,,,0,,,,,66%,,2,,,,1985,53%,66%,0.4
Brain Breaker,Sharp X1,1/1/1985,JP,Enix,Enix,,Metroidvania,,,2,0,,,,,0,,,,,65%,,2,,,,1985,53%,65%,0.4
The Black Onyx,MSX,1/1/1985,EU,Bullet-Proof Software,Bullet-Proof Software,,Turn-Based RPG,,,,0,,,,,0,,,,,63%,,2,,,,1985,52%,63%,0.4
Hero of the Golden Talisman,Commodore 64,1/1/1985,EU,Mastetronic,Mr Chip Software,,Metroidvania,,,,0,,,,,0,,,,,63%,,2,,,,1985,51%,63%,0.4
Terra Cresta,Arcade,1/1/1985,NA,Nihon Bussan,Nihon Bussan,Terra Cresta,Scrolling Shooter,,,,0,,,,,0,,,,,60%,,2,,0.42,,1985,50%,60%,0.4
Alpha Mission,Arcade,1/1/1985,NA,Tradewest,SNK,Alpha Mission,Scrolling Shooter,,,,0,,,,,0,,,,,52%,,2,,1.00,,1985,46%,52%,0.4
The Death Trap II: Will,FM-7,1/1/1985,JP,Squaresoft,SquareSoft,The Death Trap,Adventure,,,0,0,,,,,0,,,,,47%,,2,,2.00,,1985,44%,47%,0.4
